*
* Ladesystemtypen
*
$CHARGINGSYSTEM:ID;Name
0;Plugin
1;Panthograph/Overhead
2;Battery Change
3;Induction
*
* Haltestellen
*
* List was extended and new attribute values were randomized using 'extendStopPointTable.py'
*
* ChargingSystem
*   -1 		= none
*   INT		= see above in CHARGINGSYSTEM
*
* FastChargingCapability
*    0 		= stop is not capable to fast charge
*    1 		= stop is capable to fast charge
*
* Haltestellen;;;;;;;;;;
*;;;;;;;;;;
$STOPPOINT:ID;Code;Name;VehCapacityForCharging
00672;00672;00672;1000
00753;00753;00753;1000
00717;00717;00717;1000
00426;00426;00426;1000
00346;00346;00346;1000
00628;00628;00628;1000
00321;00321;00321;1000
00649;00649;00649;1000
00175;00175;00175;1000
01184;01184;01184;1000
00116;00116;00116;1000
00571;00571;00571;1000
00935;00935;00935;1000
00785;00785;00785;1000
00596;00596;00596;1000
00767;00767;00767;1000
00680;00680;00680;1000
00637;00637;00637;1000
00103;00103;00103;1000
00004;00004;00004;1000
00851;00851;00851;1000
01222;01222;01222;1000
00288;00288;00288;0
00227;00227;00227;0
00582;00582;00582;0
01789;01789;01789;0
00980;00980;00980;0
00290;00290;00290;0
00655;00655;00655;0
00167;00167;00167;0
01787;01787;01787;0
00885;00885;00885;0
00959;00959;00959;0
00404;00404;00404;0
01284;01284;01284;0
01172;01172;01172;0
01203;01203;01203;0
01234;01234;01234;0
01743;01743;01743;0
01388;01388;01388;0
00236;00236;00236;0
00813;00813;00813;0
00370;00370;00370;0
00938;00938;00938;0
01283;01283;01283;0
00866;00866;00866;0
01355;01355;01355;0
00302;00302;00302;0
01008;01008;01008;0
00151;00151;00151;0
01341;01341;01341;0
01438;01438;01438;0
00182;00182;00182;0
00691;00691;00691;0
00377;00377;00377;0
00706;00706;00706;0
01624;01624;01624;0
00764;00764;00764;0
00283;00283;00283;0
00733;00733;00733;0
00491;00491;00491;0
00486;00486;00486;0
01784;01784;01784;0
01189;01189;01189;0
01571;01571;01571;0
00494;00494;00494;0
00326;00326;00326;0
00560;00560;00560;0
01645;01645;01645;0
01170;01170;01170;0
00634;00634;00634;0
01713;01713;01713;0
00770;00770;00770;0
01420;01420;01420;0
00492;00492;00492;0
01766;01766;01766;0
00193;00193;00193;0
01147;01147;01147;0
00509;00509;00509;0
00179;00179;00179;0
01111;01111;01111;0
01357;01357;01357;0
00333;00333;00333;0
00256;00256;00256;0
00644;00644;00644;0
00871;00871;00871;0
00144;00144;00144;0
00564;00564;00564;0
00192;00192;00192;0
01767;01767;01767;0
00989;00989;00989;0
01194;01194;01194;0
00530;00530;00530;0
00552;00552;00552;0
00613;00613;00613;0
01615;01615;01615;0
00612;00612;00612;0
00457;00457;00457;0
01047;01047;01047;0
00995;00995;00995;0
00904;00904;00904;0
01386;01386;01386;0
01769;01769;01769;0
00313;00313;00313;0
00287;00287;00287;0
01778;01778;01778;0
00547;00547;00547;0
00629;00629;00629;0
00141;00141;00141;0
01104;01104;01104;0
01200;01200;01200;0
01533;01533;01533;0
00827;00827;00827;0
00379;00379;00379;0
00145;00145;00145;0
01431;01431;01431;0
00831;00831;00831;0
00542;00542;00542;0
00383;00383;00383;0
00211;00211;00211;0
00220;00220;00220;0
01118;01118;01118;0
01123;01123;01123;0
01031;01031;01031;0
01096;01096;01096;0
00886;00886;00886;0
01708;01708;01708;0
00502;00502;00502;0
00253;00253;00253;0
00409;00409;00409;0
00277;00277;00277;0
00209;00209;00209;0
00160;00160;00160;0
00166;00166;00166;0
01130;01130;01130;0
00861;00861;00861;0
00578;00578;00578;0
00366;00366;00366;0
00005;00005;00005;0
00026;00026;00026;0
*;;;;;;;;;;
* Linien;;;;;;;;;;
*;;;;;;;;;;
$LINE:ID;Code;Name;;;;;;;;
121;121;121;;;;;;;;
156;156;156;;;;;;;;
232;232;232;;;;;;;;
20;20;20;;;;;;;;
27;27;27;;;;;;;;
29;29;29;;;;;;;;
36;36;36;;;;;;;;
45;45;45;;;;;;;;
52;52;52;;;;;;;;
78;78;78;;;;;;;;
82;82;82;;;;;;;;
84;84;84;;;;;;;;
89;89;89;;;;;;;;
*;;;;;;;;;;
*
* Fahrzeugtypen
* 
* additional attributes
*
* VehCharacteristic
*   1 		= Regular bus (Regul�rer 2- bis 3-Achser)
*   2 		= Articulated bus (Gelenkbus)
* VehClass
* 	Classified according to length (8m, 12m, 18m)
*   Actual vehicle lengths differ, but are close to the class length
* CurbWeightKg 
*   Vehicles weight without passengers (in kg)
* BatteryCapacity (in kWh)
* SlowRechargingTime (in seconds)
* FastRechargingTime (in seconds)
*   '-' 	= Vehicle has no fast charging capability
*   INT 	= fast charging time in seconds
* ### FastRechargingTime and SlowRechargingTime might replace 'RechargingCost'.
* ChargingSystem
*   Array of supported systems -> possible values sa. (StopPoints-Relation)
*
$VEHICLETYPE:ID;Code;Name;VehCharacteristic;VehClass;CurbWeightKg;VehCost;KmCost;HourCost;Capacity;BatteryCapacity;ConsumptionPerServiceJourneyKm;ConsumptionPerDeadheadKm;RechargingCost;SlowRechargingTime;FastRechargingTime;ChargingSystem
1;RB_BEV_BYD_12m;BYD_ebus;1;12m;13300;100000;1;100;1000;324;1,296;1,296;1000;18000;5760;0,2
2;RB_BEV_BYD_12m;BYD_40-ft Electric Transit Bus (2014);1;12m;14500;100000;1;100;1000;324;1,296;1,296;1000;14400;5760;0,2
3;AB_BEV_BYD_18m;BYD_60-ft Electric Transit Bus (2014);2;18m;21500;100000;1;100;1000;547,5;1,990909091;1,990909091;1000;10800;7200;0,2
4;RB_BEV_Siemens+Rampini_8m;Siemens+Rampini_ebus;1;8m;8500;100000;1;100;1000;96;0,8;0,8;1000;-;360;0,1,2
5;RB_BEV_Solaris_9m;Solaris_urbino electric 8.9 LE;1;8m;-;100000;1;100;1000;90;0,3;0,3;1000;-;420;0,1
6;RB_BEV_Solaris_12m;Solaris_urbino electric 12 (Braunschweig);1;12m;13000;100000;1;100;1000;90;0,6;0,6;1000;-;420;0,1
7;RB_BEV_Solaris_12m;Solaris_urbino electric 12;1;12m;-;100000;1;100;1000;90;0,6;0,6;1000;-;420;0,1
8;AB_BEV_Solaris_18m;Solaris_urbino electric 18;2;18m;-;100000;1;100;1000;90;0,3;0,3;1000;-;420;0,1
9;AB_FCBEV_Solaris_19m;Solaris_urbino electric 18.75;2;18m;-;100000;1;100;1000;120;0,4;0,4;1000;-;420;0,1
*
* FahrzeugtypGruppen
*
$VEHICLETYPEGROUP:ID;Code;Name
1;1;EBus
2;2;EBus_w_Range_Extension
*
* FahrzeugtypZuFahrzeugtypGruppe
*
$VEHTYPETOVEHTYPEGROUP:VehTypeID;VehTypeGroupID
1;1
2;1
3;1
4;1
5;1
6;1
7;1
8;1
9;1
*
*;;;;;;;;;;
* FahrzeugKapazitaetenZuHaltestelle;;;;;;;;;;
*;;;;;;;;;;
$VEHTYPECAPTOSTOPPOINT:VehTypeID;StoppointID;Min;Max;;;;;;;
*;;;;;;;;;;
* FahrzeugtypZuLadestation
*
$VEHTYPETOCHARGINGSTATION:VehTypeID;StoppointID
1;672
1;753
1;717
1;426
1;346
1;628
1;321
1;649
1;175
1;1184
1;116
1;571
1;935
1;785
1;596
1;767
1;680
1;637
1;103
1;851
1;1222
1;4
*
* Linienfahrten;;;;;;;;;;
*;;;;;;;;;;
$SERVICEJOURNEY:ID;LineID;FromStopID;ToStopID;DepTime;ArrTime;MinAheadTime;MinLayoverTime;VehTypeGroupID;MaxShiftBackwardSeconds;MaxShiftForwardSeconds;Distance
01311149;20;00377;00571;000:04:55:00;000:05:21:00;0;0;1;0;0;7800
01311151;20;00377;00813;000:05:10:00;000:05:19:00;0;0;1;0;0;2700
01311153;20;00571;01355;000:05:14:00;000:05:55:00;0;0;1;0;0;12300
01311155;20;00377;00571;000:05:15:00;000:05:41:00;0;0;1;0;0;7800
01311157;20;00813;00571;000:05:24:00;000:05:58:00;0;0;1;0;0;10200
01311159;20;00377;00813;000:05:30:00;000:05:39:00;0;0;1;0;0;2700
01311161;20;00571;01355;000:05:34:00;000:06:15:00;0;0;1;0;0;12300
01311163;20;00377;00571;000:05:42:00;000:06:08:00;0;0;1;0;0;7800
01311165;20;00571;01355;000:05:44:00;000:06:25:00;0;0;1;0;0;12300
01311167;20;00813;00571;000:05:44:00;000:06:18:00;0;0;1;0;0;10200
01311169;20;00571;01355;000:05:54:00;000:06:35:00;0;60;1;0;0;12300
01311171;20;01355;00571;000:05:55:00;000:06:38:00;0;360;1;0;0;12900
01311173;20;00377;00571;000:06:02:00;000:06:28:00;0;0;1;0;0;7800
01311175;20;00571;01355;000:06:04:00;000:06:45:00;0;60;1;0;0;12300
01311177;20;01355;00571;000:06:05:00;000:06:48:00;0;360;1;0;0;12900
01311179;20;00571;01355;000:06:14:00;000:06:55:00;0;60;1;0;0;12300
01311181;20;01355;00571;000:06:15:00;000:06:58:00;0;360;1;0;0;12900
01311183;20;00571;01355;000:06:24:00;000:07:05:00;0;60;1;0;0;12300
01311185;20;01355;00571;000:06:25:00;000:07:08:00;0;360;1;0;0;12900
01311187;20;00571;01355;000:06:34:00;000:07:15:00;0;60;1;0;0;12300
01311189;20;01355;00571;000:06:35:00;000:07:18:00;0;360;1;0;0;12900
01311191;20;00571;01355;000:06:44:00;000:07:25:00;0;60;1;0;0;12300
01311193;20;01355;00571;000:06:45:00;000:07:28:00;0;360;1;0;0;12900
01311195;20;00571;01355;000:06:54:00;000:07:35:00;0;60;1;0;0;12300
01311197;20;01355;00571;000:06:55:00;000:07:38:00;0;360;1;0;0;12900
01311199;20;00571;01355;000:07:04:00;000:07:45:00;0;60;1;0;0;12300
01311201;20;01355;00571;000:07:05:00;000:07:48:00;0;360;1;0;0;12900
01311203;20;00571;01355;000:07:14:00;000:07:55:00;0;60;1;0;0;12300
