$STOPPOINT:ID
01099
01222
00491
00717
00582
00619
00861
00552
00272
01631
00107
01872
00253
00629
01104
01234
00649
00851
01184
00596
00005
00753
00165
00733
00672
01284
00209
00379
00767
01086
00886
00494
00542
00764
00605
00935
00995
00151
00266
00628
00560
00566
01388
00885
00426
01014
00103
00004
00989
01341
00637
00020
00980
00144
00813
01123
00116
00655
00634
00488
01051
00288
00486
01862
00248
00346
01357
$SERVICEJOURNEY:ID;FromStopID;ToStopID;DepTime;ArrTime;Distance
02294092;00649;00885;000:04:44:00;000:05:19:00;10500
02294066;01631;00885;000:05:00:00;000:05:59:00;17700
02294012;00649;01631;000:05:01:00;000:05:28:00;8100
02293988;01222;01631;000:05:03:00;000:05:48:00;13500
02294079;00649;00885;000:05:04:00;000:05:39:00;10500
02294105;00885;01631;000:05:08:00;000:06:08:00;18000
02294055;01631;00885;000:05:20:00;000:06:19:00;17700
02294091;00885;01631;000:05:28:00;000:06:28:00;18000
02294044;01631;00885;000:05:40:00;000:06:39:00;17700
02294077;00885;01631;000:05:48:00;000:06:48:00;18000
02294032;01631;00885;000:06:00:00;000:06:59:00;17700
02294065;00885;01631;000:06:08:00;000:07:08:00;18000
02294021;01631;00885;000:06:20:00;000:07:19:00;17700
02294053;00885;01631;000:06:28:00;000:07:28:00;18000
02294011;01631;00885;000:06:40:00;000:07:39:00;17700
02294043;00885;01631;000:06:48:00;000:07:48:00;18000
02293987;01631;00885;000:07:00:00;000:07:59:00;17700
02294031;00885;01631;000:07:08:00;000:08:08:00;18000
02294108;01222;00995;000:07:10:00;000:07:17:00;2100
02294104;01631;00885;000:07:20:00;000:08:19:00;17700
02294106;00346;00649;000:07:20:00;000:07:32:00;3600
02294020;00885;01631;000:07:28:00;000:08:28:00;18000
02294107;01051;00566;000:07:33:00;000:07:37:00;1200
02294090;01631;00885;000:07:40:00;000:08:39:00;17700
02294010;00885;01631;000:07:48:00;000:08:48:00;18000
02294076;01631;00885;000:08:00:00;000:08:59:00;17700
